      Step     Time          Energy          fmax
BFGS:    0 15:17:29      -50.086662        0.754090
BFGS:    1 15:17:29      -50.135348        0.738837
BFGS:    2 15:17:29      -50.693127        0.387940
BFGS:    3 15:17:29      -50.729141        0.405164
BFGS:    4 15:17:29      -50.747214        0.388940
BFGS:    5 15:17:30      -50.923025        0.230825
BFGS:    6 15:17:30      -50.946826        0.268689
BFGS:    7 15:17:30      -50.954769        0.293739
BFGS:    8 15:17:30      -50.963524        0.310136
BFGS:    9 15:17:30      -50.992322        0.341337
BFGS:   10 15:17:30      -51.047828        0.368117
BFGS:   11 15:17:30      -51.115261        0.368444
BFGS:   12 15:17:30      -51.184625        0.348208
BFGS:   13 15:17:30      -51.249189        0.304869
BFGS:   14 15:17:30      -51.296346        0.219752
BFGS:   15 15:17:30      -51.313605        0.204043
BFGS:   16 15:17:30      -51.324527        0.193395
BFGS:   17 15:17:30      -51.341094        0.184536
BFGS:   18 15:17:30      -51.370465        0.161626
BFGS:   19 15:17:30      -51.415956        0.170824
BFGS:   20 15:17:30      -51.456827        0.158519
BFGS:   21 15:17:30      -51.474577        0.115372
BFGS:   22 15:17:30      -51.478758        0.098888
BFGS:   23 15:17:30      -51.482212        0.101888
BFGS:   24 15:17:30      -51.490726        0.107938
BFGS:   25 15:17:30      -51.507207        0.113216
BFGS:   26 15:17:30      -51.529254        0.103713
BFGS:   27 15:17:30      -51.546216        0.070727
BFGS:   28 15:17:31      -51.551750        0.076860
BFGS:   29 15:17:31      -51.552611        0.080754
BFGS:   30 15:17:31      -51.553467        0.083418
BFGS:   31 15:17:31      -51.555161        0.086046
BFGS:   32 15:17:31      -51.558310        0.086678
BFGS:   33 15:17:31      -51.562434        0.080738
BFGS:   34 15:17:31      -51.565235        0.068859
BFGS:   35 15:17:31      -51.566192        0.060282
BFGS:   36 15:17:31      -51.566578        0.056633
BFGS:   37 15:17:31      -51.567229        0.052225
BFGS:   38 15:17:31      -51.568674        0.044876
BFGS:   39 15:17:31      -51.571494        0.038206
BFGS:   40 15:17:31      -51.575359        0.039832
BFGS:   41 15:17:31      -51.578263        0.034135
BFGS:   42 15:17:31      -51.579218        0.033869
BFGS:   43 15:17:31      -51.579416        0.032986
BFGS:   44 15:17:31      -51.579594        0.032022
BFGS:   45 15:17:31      -51.580036        0.030159
BFGS:   46 15:17:31      -51.580863        0.027635
BFGS:   47 15:17:31      -51.582098        0.041527
BFGS:   48 15:17:31      -51.583216        0.059492
BFGS:   49 15:17:31      -51.583815        0.060578
BFGS:   50 15:17:31      -51.584112        0.052537
BFGS:   51 15:17:32      -51.584475        0.036817
BFGS:   52 15:17:32      -51.584933        0.020155
BFGS:   53 15:17:32      -51.585243        0.018736
BFGS:   54 15:17:32      -51.585343        0.018365
BFGS:   55 15:17:32      -51.585375        0.018359
BFGS:   56 15:17:32      -51.585416        0.018238
BFGS:   57 15:17:32      -51.585513        0.017644
BFGS:   58 15:17:32      -51.585694        0.016018
BFGS:   59 15:17:32      -51.585939        0.023600
BFGS:   60 15:17:32      -51.586136        0.029793
BFGS:   61 15:17:32      -51.586246        0.029056
BFGS:   62 15:17:32      -51.586335        0.025200
BFGS:   63 15:17:32      -51.586475        0.018302
BFGS:   64 15:17:32      -51.586673        0.011064
BFGS:   65 15:17:32      -51.586844        0.010671
BFGS:   66 15:17:32      -51.586916        0.010450
BFGS:   67 15:17:32      -51.586940        0.008838
BFGS:   68 15:17:32      -51.586968        0.007593
BFGS:   69 15:17:32      -51.587025        0.007503
BFGS:   70 15:17:32      -51.587108        0.008967
BFGS:   71 15:17:32      -51.587181        0.007407
BFGS:   72 15:17:32      -51.587208        0.006253
BFGS:   73 15:17:32      -51.587215        0.006025
BFGS:   74 15:17:32      -51.587219        0.005904
BFGS:   75 15:17:33      -51.587232        0.005689
BFGS:   76 15:17:33      -51.587256        0.006414
BFGS:   77 15:17:33      -51.587300        0.008865
BFGS:   78 15:17:33      -51.587345        0.008684
BFGS:   79 15:17:33      -51.587369        0.006613
BFGS:   80 15:17:33      -51.587376        0.005410
BFGS:   81 15:17:33      -51.587382        0.004711
BFGS:   82 15:17:33      -51.587393        0.004542
BFGS:   83 15:17:33      -51.587410        0.004802
BFGS:   84 15:17:33      -51.587431        0.006978
BFGS:   85 15:17:33      -51.587445        0.008160
BFGS:   86 15:17:33      -51.587454        0.008070
BFGS:   87 15:17:33      -51.587463        0.007601
BFGS:   88 15:17:33      -51.587484        0.007115
BFGS:   89 15:17:33      -51.587520        0.007087
BFGS:   90 15:17:33      -51.587566        0.006578
BFGS:   91 15:17:33      -51.587595        0.004526
BFGS:   92 15:17:33      -51.587603        0.003715
BFGS:   93 15:17:33      -51.587606        0.003304
BFGS:   94 15:17:33      -51.587610        0.002972
BFGS:   95 15:17:33      -51.587618        0.003279
BFGS:   96 15:17:33      -51.587627        0.002897
BFGS:   97 15:17:34      -51.587632        0.001461
BFGS:   98 15:17:34      -51.587633        0.000810
