      Step     Time          Energy          fmax
BFGS:    0 00:44:38      -47.597269        0.847756
BFGS:    1 00:44:38      -47.665135        0.842121
BFGS:    2 00:44:38      -48.569649        0.738448
BFGS:    3 00:44:38      -49.097028        0.627282
BFGS:    4 00:44:38      -49.321860        0.525357
BFGS:    5 00:44:38      -49.390378        0.545048
BFGS:    6 00:44:38      -49.626790        0.560360
BFGS:    7 00:44:38      -49.824697        0.454716
BFGS:    8 00:44:38      -50.008939        0.333708
BFGS:    9 00:44:38      -50.057532        0.377760
BFGS:   10 00:44:38      -50.074138        0.388763
BFGS:   11 00:44:38      -50.139155        0.409200
BFGS:   12 00:44:38      -50.235865        0.410040
BFGS:   13 00:44:38      -50.346273        0.376845
BFGS:   14 00:44:38      -50.421375        0.319888
BFGS:   15 00:44:38      -50.446948        0.308071
BFGS:   16 00:44:38      -50.476120        0.295446
BFGS:   17 00:44:39      -50.530637        0.259551
BFGS:   18 00:44:39      -50.617994        0.260876
BFGS:   19 00:44:39      -50.718819        0.337413
BFGS:   20 00:44:39      -50.796088        0.348999
BFGS:   21 00:44:39      -50.835141        0.296798
BFGS:   22 00:44:39      -50.862043        0.246827
BFGS:   23 00:44:39      -50.912958        0.230226
BFGS:   24 00:44:39      -50.998533        0.253557
BFGS:   25 00:44:39      -51.083961        0.262779
BFGS:   26 00:44:39      -51.168426        0.258975
BFGS:   27 00:44:39      -51.256683        0.237915
BFGS:   28 00:44:39      -51.330810        0.207077
BFGS:   29 00:44:39      -51.391592        0.161840
BFGS:   30 00:44:39      -51.430204        0.144658
BFGS:   31 00:44:39      -51.438412        0.156194
BFGS:   32 00:44:39      -51.444331        0.161851
BFGS:   33 00:44:39      -51.451875        0.171859
BFGS:   34 00:44:39      -51.463005        0.175000
BFGS:   35 00:44:39      -51.483073        0.164723
BFGS:   36 00:44:39      -51.506712        0.142233
BFGS:   37 00:44:39      -51.525746        0.113473
BFGS:   38 00:44:39      -51.531659        0.096526
BFGS:   39 00:44:39      -51.533100        0.092530
BFGS:   40 00:44:39      -51.534452        0.088716
BFGS:   41 00:44:40      -51.538170        0.078794
BFGS:   42 00:44:40      -51.544983        0.060859
BFGS:   43 00:44:40      -51.553933        0.060998
BFGS:   44 00:44:40      -51.559530        0.055276
BFGS:   45 00:44:40      -51.561440        0.045373
BFGS:   46 00:44:40      -51.562016        0.046869
BFGS:   47 00:44:40      -51.562578        0.046552
BFGS:   48 00:44:40      -51.563909        0.044767
BFGS:   49 00:44:40      -51.566028        0.051687
BFGS:   50 00:44:40      -51.568622        0.096631
BFGS:   51 00:44:40      -51.570639        0.123884
BFGS:   52 00:44:40      -51.572049        0.123195
BFGS:   53 00:44:40      -51.573706        0.105518
BFGS:   54 00:44:40      -51.576465        0.066163
BFGS:   55 00:44:40      -51.579616        0.035952
BFGS:   56 00:44:40      -51.581500        0.023411
BFGS:   57 00:44:40      -51.582000        0.023575
BFGS:   58 00:44:40      -51.582123        0.024730
BFGS:   59 00:44:40      -51.582253        0.025358
BFGS:   60 00:44:40      -51.582533        0.025837
BFGS:   61 00:44:40      -51.582975        0.025449
BFGS:   62 00:44:43      -51.583454        0.023587
BFGS:   63 00:44:43      -51.583720        0.021316
BFGS:   64 00:44:43      -51.583819        0.020048
BFGS:   65 00:44:43      -51.583891        0.019292
BFGS:   66 00:44:43      -51.584032        0.018168
BFGS:   67 00:44:43      -51.584283        0.016502
BFGS:   68 00:44:43      -51.584633        0.020947
BFGS:   69 00:44:43      -51.584936        0.031419
BFGS:   70 00:44:43      -51.585113        0.032891
BFGS:   71 00:44:43      -51.585246        0.028869
BFGS:   72 00:44:43      -51.585456        0.020187
BFGS:   73 00:44:43      -51.585786        0.015063
BFGS:   74 00:44:43      -51.586134        0.022641
BFGS:   75 00:44:43      -51.586333        0.028236
BFGS:   76 00:44:43      -51.586421        0.025536
BFGS:   77 00:44:43      -51.586497        0.019585
BFGS:   78 00:44:43      -51.586612        0.010369
BFGS:   79 00:44:43      -51.586736        0.009239
BFGS:   80 00:44:43      -51.586814        0.010099
BFGS:   81 00:44:44      -51.586846        0.010461
BFGS:   82 00:44:44      -51.586876        0.009516
BFGS:   83 00:44:44      -51.586939        0.009032
BFGS:   84 00:44:44      -51.587063        0.009210
BFGS:   85 00:44:44      -51.587248        0.010435
BFGS:   86 00:44:44      -51.587397        0.008907
BFGS:   87 00:44:44      -51.587449        0.007181
BFGS:   88 00:44:44      -51.587457        0.007287
BFGS:   89 00:44:44      -51.587460        0.007283
BFGS:   90 00:44:44      -51.587468        0.007200
BFGS:   91 00:44:44      -51.587482        0.006950
BFGS:   92 00:44:44      -51.587502        0.006418
BFGS:   93 00:44:44      -51.587519        0.005825
BFGS:   94 00:44:44      -51.587526        0.005491
BFGS:   95 00:44:44      -51.587530        0.005345
BFGS:   96 00:44:44      -51.587536        0.005123
BFGS:   97 00:44:44      -51.587549        0.004604
BFGS:   98 00:44:44      -51.587571        0.004223
BFGS:   99 00:44:44      -51.587594        0.002913
BFGS:  100 00:44:45      -51.587606        0.001641
BFGS:  101 00:44:45      -51.587608        0.001639
BFGS:  102 00:44:45      -51.587608        0.001700
BFGS:  103 00:44:49      -51.587609        0.001750
BFGS:  104 00:44:49      -51.587610        0.001749
BFGS:  105 00:44:50      -51.587613        0.001566
BFGS:  106 00:44:50      -51.587617        0.001388
BFGS:  107 00:44:50      -51.587620        0.001506
BFGS:  108 00:44:50      -51.587620        0.001239
BFGS:  109 00:44:50      -51.587621        0.001025
BFGS:  110 00:44:50      -51.587621        0.000986
