      Step     Time          Energy          fmax
BFGS:    0 01:00:37      -23.931762        0.904595
BFGS:    1 01:00:37      -23.995645        0.843371
BFGS:    2 01:00:37      -24.657939        0.792021
BFGS:    3 01:00:37      -24.860017        0.733516
BFGS:    4 01:00:37      -24.928830        0.647096
BFGS:    5 01:00:38      -24.966326        0.601736
BFGS:    6 01:00:38      -25.043622        0.500648
BFGS:    7 01:00:38      -25.133239        0.324922
BFGS:    8 01:00:38      -25.192491        0.391241
BFGS:    9 01:00:38      -25.203286        0.354698
BFGS:   10 01:00:38      -25.231084        0.311854
BFGS:   11 01:00:38      -25.270471        0.322736
BFGS:   12 01:00:38      -25.339709        0.344725
BFGS:   13 01:00:38      -25.400164        0.289451
BFGS:   14 01:00:38      -25.426052        0.297794
BFGS:   15 01:00:38      -25.437616        0.291717
BFGS:   16 01:00:38      -25.459682        0.272203
BFGS:   17 01:00:38      -25.493449        0.316307
BFGS:   18 01:00:38      -25.557741        0.353066
BFGS:   19 01:00:39      -25.634299        0.327242
BFGS:   20 01:00:39      -25.687651        0.204898
BFGS:   21 01:00:39      -25.703798        0.151075
BFGS:   22 01:00:40      -25.706204        0.154746
BFGS:   23 01:00:40      -25.710524        0.159077
BFGS:   24 01:00:40      -25.718939        0.160423
BFGS:   25 01:00:40      -25.729718        0.153247
BFGS:   26 01:00:40      -25.736761        0.135854
BFGS:   27 01:00:40      -25.738892        0.123667
BFGS:   28 01:00:41      -25.740145        0.116782
BFGS:   29 01:00:41      -25.742563        0.107204
BFGS:   30 01:00:41      -25.747640        0.092355
BFGS:   31 01:00:41      -25.757531        0.104843
BFGS:   32 01:00:41      -25.769784        0.088858
BFGS:   33 01:00:41      -25.774554        0.061928
BFGS:   34 01:00:41      -25.776358        0.056373
BFGS:   35 01:00:42      -25.776954        0.055696
BFGS:   36 01:00:42      -25.777616        0.057123
BFGS:   37 01:00:42      -25.779523        0.056745
BFGS:   38 01:00:42      -25.782375        0.049864
BFGS:   39 01:00:42      -25.785614        0.042567
BFGS:   40 01:00:42      -25.787187        0.046053
BFGS:   41 01:00:42      -25.787595        0.039867
BFGS:   42 01:00:43      -25.787873        0.034353
BFGS:   43 01:00:43      -25.788419        0.033734
BFGS:   44 01:00:43      -25.789354        0.031978
BFGS:   45 01:00:43      -25.790423        0.025730
BFGS:   46 01:00:43      -25.791025        0.024378
BFGS:   47 01:00:43      -25.791183        0.026802
BFGS:   48 01:00:43      -25.791236        0.026137
BFGS:   49 01:00:43      -25.791333        0.024016
BFGS:   50 01:00:43      -25.791524        0.019558
BFGS:   51 01:00:43      -25.791809        0.014736
BFGS:   52 01:00:44      -25.792047        0.016408
BFGS:   53 01:00:44      -25.792143        0.014237
BFGS:   54 01:00:44      -25.792176        0.012810
BFGS:   55 01:00:44      -25.792213        0.011455
BFGS:   56 01:00:44      -25.792293        0.010812
BFGS:   57 01:00:44      -25.792425        0.014294
BFGS:   58 01:00:44      -25.792576        0.026871
BFGS:   59 01:00:44      -25.792673        0.031107
BFGS:   60 01:00:44      -25.792723        0.027477
BFGS:   61 01:00:44      -25.792769        0.019742
BFGS:   62 01:00:44      -25.792836        0.011879
BFGS:   63 01:00:44      -25.792908        0.011820
BFGS:   64 01:00:44      -25.792955        0.016764
BFGS:   65 01:00:44      -25.792983        0.017359
BFGS:   66 01:00:44      -25.793020        0.015308
BFGS:   67 01:00:45      -25.793102        0.014137
BFGS:   68 01:00:45      -25.793262        0.015461
BFGS:   69 01:00:45      -25.793488        0.013863
BFGS:   70 01:00:45      -25.793658        0.009148
BFGS:   71 01:00:45      -25.793711        0.006935
BFGS:   72 01:00:45      -25.793718        0.006326
BFGS:   73 01:00:45      -25.793721        0.005925
BFGS:   74 01:00:45      -25.793729        0.004975
BFGS:   75 01:00:45      -25.793740        0.004719
BFGS:   76 01:00:45      -25.793754        0.009100
BFGS:   77 01:00:45      -25.793763        0.011118
BFGS:   78 01:00:45      -25.793768        0.010556
BFGS:   79 01:00:46      -25.793773        0.008568
BFGS:   80 01:00:46      -25.793780        0.005036
BFGS:   81 01:01:01      -25.793786        0.002114
BFGS:   82 01:01:04      -25.793788        0.001999
BFGS:   83 01:01:04      -25.793789        0.001890
BFGS:   84 01:01:05      -25.793789        0.001832
BFGS:   85 01:01:05      -25.793789        0.001716
BFGS:   86 01:01:05      -25.793790        0.001556
BFGS:   87 01:01:05      -25.793792        0.002618
BFGS:   88 01:01:05      -25.793795        0.003234
BFGS:   89 01:01:05      -25.793796        0.003173
BFGS:   90 01:01:05      -25.793797        0.002966
BFGS:   91 01:01:05      -25.793798        0.002807
BFGS:   92 01:01:05      -25.793799        0.002625
BFGS:   93 01:01:05      -25.793801        0.002279
BFGS:   94 01:01:05      -25.793802        0.001454
BFGS:   95 01:01:05      -25.793802        0.000636
