      Step     Time          Energy          fmax
BFGS:    0 01:19:55      -25.020777        0.956210
BFGS:    1 01:19:55      -25.088621        0.901926
BFGS:    2 01:19:55      -25.427762        0.476974
BFGS:    3 01:19:55      -25.448132        0.387070
BFGS:    4 01:19:55      -25.456264        0.347938
BFGS:    5 01:19:55      -25.474796        0.286758
BFGS:    6 01:19:55      -25.508622        0.307812
BFGS:    7 01:19:55      -25.554778        0.303145
BFGS:    8 01:19:55      -25.588885        0.262822
BFGS:    9 01:19:55      -25.602940        0.288854
BFGS:   10 01:19:55      -25.610936        0.285109
BFGS:   11 01:19:55      -25.625584        0.301574
BFGS:   12 01:19:55      -25.651939        0.317301
BFGS:   13 01:19:55      -25.695527        0.282810
BFGS:   14 01:19:55      -25.731224        0.206811
BFGS:   15 01:19:55      -25.751523        0.109807
BFGS:   16 01:19:55      -25.754338        0.095960
BFGS:   17 01:19:55      -25.755521        0.103156
BFGS:   18 01:19:55      -25.757845        0.107399
BFGS:   19 01:19:55      -25.762451        0.105034
BFGS:   20 01:19:55      -25.770714        0.087700
BFGS:   21 01:19:55      -25.779722        0.077683
BFGS:   22 01:19:55      -25.784925        0.077838
BFGS:   23 01:19:56      -25.786311        0.080065
BFGS:   24 01:19:56      -25.786669        0.079629
BFGS:   25 01:19:56      -25.787371        0.076016
BFGS:   26 01:19:56      -25.788615        0.065238
BFGS:   27 01:19:56      -25.790238        0.045241
BFGS:   28 01:19:56      -25.791283        0.036263
BFGS:   29 01:19:56      -25.791603        0.034285
BFGS:   30 01:19:56      -25.791698        0.030737
BFGS:   31 01:19:56      -25.791843        0.025866
BFGS:   32 01:19:56      -25.792164        0.022640
BFGS:   33 01:19:56      -25.792685        0.019118
BFGS:   34 01:19:56      -25.793204        0.022544
BFGS:   35 01:19:56      -25.793429        0.023086
BFGS:   36 01:19:56      -25.793477        0.018789
BFGS:   37 01:19:56      -25.793494        0.014495
BFGS:   38 01:19:56      -25.793518        0.007302
BFGS:   39 01:19:56      -25.793544        0.006201
BFGS:   40 01:19:56      -25.793559        0.009327
BFGS:   41 01:19:56      -25.793567        0.009990
BFGS:   42 01:19:56      -25.793574        0.008685
BFGS:   43 01:19:56      -25.793587        0.006364
BFGS:   44 01:19:56      -25.793605        0.006190
BFGS:   45 01:19:56      -25.793621        0.005791
BFGS:   46 01:19:56      -25.793628        0.005359
BFGS:   47 01:19:56      -25.793633        0.005057
BFGS:   48 01:19:56      -25.793639        0.004680
BFGS:   49 01:19:56      -25.793653        0.004885
BFGS:   50 01:19:56      -25.793677        0.007287
BFGS:   51 01:19:56      -25.793706        0.009617
BFGS:   52 01:19:56      -25.793725        0.011328
BFGS:   53 01:19:56      -25.793733        0.010386
BFGS:   54 01:19:56      -25.793740        0.008514
BFGS:   55 01:19:56      -25.793749        0.005166
BFGS:   56 01:19:56      -25.793761        0.003449
BFGS:   57 01:19:57      -25.793769        0.003856
BFGS:   58 01:19:57      -25.793772        0.003813
BFGS:   59 01:19:57      -25.793774        0.003567
BFGS:   60 01:19:57      -25.793777        0.003404
BFGS:   61 01:19:57      -25.793784        0.002986
BFGS:   62 01:19:57      -25.793794        0.003882
BFGS:   63 01:19:57      -25.793802        0.003717
BFGS:   64 01:19:57      -25.793805        0.002703
BFGS:   65 01:19:57      -25.793806        0.002142
BFGS:   66 01:19:57      -25.793806        0.001733
BFGS:   67 01:19:57      -25.793807        0.001163
BFGS:   68 01:19:57      -25.793808        0.001063
BFGS:   69 01:19:57      -25.793808        0.001493
BFGS:   70 01:19:57      -25.793808        0.001532
BFGS:   71 01:19:57      -25.793808        0.001418
BFGS:   72 01:19:57      -25.793809        0.001226
BFGS:   73 01:19:57      -25.793809        0.001116
BFGS:   74 01:19:57      -25.793810        0.001152
BFGS:   75 01:19:57      -25.793811        0.001188
BFGS:   76 01:19:57      -25.793811        0.001172
BFGS:   77 01:19:57      -25.793811        0.001084
BFGS:   78 01:19:57      -25.793812        0.001209
BFGS:   79 01:19:57      -25.793813        0.001605
BFGS:   80 01:19:57      -25.793814        0.001966
BFGS:   81 01:19:57      -25.793816        0.001472
BFGS:   82 01:19:57      -25.793817        0.000542
