      Step     Time          Energy          fmax
BFGS:    0 23:57:23      -24.117703        0.949525
BFGS:    1 23:57:23      -24.168521        0.941122
BFGS:    2 23:57:23      -24.778859        0.652747
BFGS:    3 23:57:23      -24.942658        1.000204
BFGS:    4 23:57:23      -24.981134        0.781472
BFGS:    5 23:57:23      -25.048536        0.539642
BFGS:    6 23:57:23      -25.212437        0.489266
BFGS:    7 23:57:23      -25.355657        0.443589
BFGS:    8 23:57:23      -25.392434        0.349209
BFGS:    9 23:57:23      -25.401281        0.318441
BFGS:   10 23:57:23      -25.434868        0.319025
BFGS:   11 23:57:23      -25.463745        0.342219
BFGS:   12 23:57:23      -25.541340        0.351329
BFGS:   13 23:57:23      -25.613781        0.307879
BFGS:   14 23:57:23      -25.665617        0.188917
BFGS:   15 23:57:23      -25.675194        0.137711
BFGS:   16 23:57:24      -25.677355        0.134384
BFGS:   17 23:57:24      -25.684671        0.138887
BFGS:   18 23:57:24      -25.697562        0.183909
BFGS:   19 23:57:24      -25.717303        0.208078
BFGS:   20 23:57:24      -25.731264        0.159815
BFGS:   21 23:57:24      -25.737227        0.100585
BFGS:   22 23:57:24      -25.738804        0.115621
BFGS:   23 23:57:24      -25.739889        0.121308
BFGS:   24 23:57:24      -25.743337        0.128372
BFGS:   25 23:57:25      -25.749256        0.125121
BFGS:   26 23:57:25      -25.757554        0.097719
BFGS:   27 23:57:25      -25.763160        0.077680
BFGS:   28 23:57:25      -25.765081        0.058553
BFGS:   29 23:57:25      -25.765596        0.057778
BFGS:   30 23:57:25      -25.766362        0.057896
BFGS:   31 23:57:25      -25.768073        0.058643
BFGS:   32 23:57:25      -25.771072        0.057946
BFGS:   33 23:57:25      -25.774577        0.064117
BFGS:   34 23:57:25      -25.776632        0.077307
BFGS:   35 23:57:25      -25.777324        0.073062
BFGS:   36 23:57:25      -25.777725        0.066826
BFGS:   37 23:57:25      -25.778559        0.057079
BFGS:   38 23:57:25      -25.780328        0.046104
BFGS:   39 23:57:26      -25.783440        0.047498
BFGS:   40 23:57:26      -25.786695        0.044444
BFGS:   41 23:57:26      -25.788106        0.034577
BFGS:   42 23:57:26      -25.788517        0.027942
BFGS:   43 23:57:26      -25.788641        0.027625
BFGS:   44 23:57:26      -25.788952        0.028701
BFGS:   45 23:57:26      -25.789468        0.029251
BFGS:   46 23:57:26      -25.790147        0.053188
BFGS:   47 23:57:26      -25.790664        0.073521
BFGS:   48 23:57:26      -25.790951        0.072701
BFGS:   49 23:57:26      -25.791190        0.060025
BFGS:   50 23:57:26      -25.791552        0.032704
BFGS:   51 23:57:26      -25.791943        0.022640
BFGS:   52 23:57:26      -25.792179        0.021453
BFGS:   53 23:57:26      -25.792264        0.022128
BFGS:   54 23:57:26      -25.792324        0.019183
BFGS:   55 23:57:27      -25.792443        0.018156
BFGS:   56 23:57:27      -25.792649        0.015597
BFGS:   57 23:57:27      -25.792892        0.013651
BFGS:   58 23:57:27      -25.793034        0.011195
BFGS:   59 23:57:27      -25.793076        0.011735
BFGS:   60 23:57:27      -25.793093        0.011086
BFGS:   61 23:57:27      -25.793125        0.009451
BFGS:   62 23:57:27      -25.793194        0.011296
BFGS:   63 23:57:27      -25.793315        0.015248
BFGS:   64 23:57:27      -25.793447        0.017410
BFGS:   65 23:57:27      -25.793521        0.015202
BFGS:   66 23:57:27      -25.793545        0.012786
BFGS:   67 23:57:27      -25.793560        0.010886
BFGS:   68 23:57:27      -25.793587        0.008827
BFGS:   69 23:57:27      -25.793626        0.008249
BFGS:   70 23:57:27      -25.793664        0.009246
BFGS:   71 23:57:27      -25.793682        0.009460
BFGS:   72 23:57:27      -25.793689        0.008318
BFGS:   73 23:57:27      -25.793697        0.006901
BFGS:   74 23:57:28      -25.793713        0.006481
BFGS:   75 23:57:28      -25.793736        0.006182
BFGS:   76 23:57:28      -25.793756        0.005383
BFGS:   77 23:57:28      -25.793764        0.004787
BFGS:   78 23:57:28      -25.793766        0.004541
BFGS:   79 23:57:28      -25.793768        0.004307
BFGS:   80 23:57:28      -25.793774        0.003768
BFGS:   81 23:57:28      -25.793785        0.004670
BFGS:   82 23:57:28      -25.793798        0.004968
BFGS:   83 23:57:28      -25.793806        0.002865
BFGS:   84 23:57:28      -25.793808        0.001679
BFGS:   85 23:57:28      -25.793809        0.001643
BFGS:   86 23:57:28      -25.793809        0.001583
BFGS:   87 23:57:28      -25.793810        0.001448
BFGS:   88 23:57:28      -25.793811        0.001349
BFGS:   89 23:57:28      -25.793812        0.001973
BFGS:   90 23:57:28      -25.793813        0.002298
BFGS:   91 23:57:28      -25.793813        0.002225
BFGS:   92 23:57:28      -25.793813        0.002002
BFGS:   93 23:57:28      -25.793814        0.001570
BFGS:   94 23:57:28      -25.793814        0.001021
BFGS:   95 23:57:28      -25.793815        0.000777
