      Step     Time          Energy          fmax
BFGS:    0 03:41:38      -98.776855        2.308976
BFGS:    1 03:41:38      -99.004063        2.283142
BFGS:    2 03:41:38     -100.327681        2.129806
BFGS:    3 03:41:38     -101.560796        1.981350
BFGS:    4 03:41:39     -102.706268        1.837752
BFGS:    5 03:41:39     -103.767210        1.699704
BFGS:    6 03:41:39     -104.747130        1.567724
BFGS:    7 03:41:39     -105.649703        1.441853
BFGS:    8 03:41:39     -106.478519        1.321804
BFGS:    9 03:41:39     -107.236950        1.207167
BFGS:   10 03:41:39     -107.928112        1.097472
BFGS:   11 03:41:39     -108.554750        0.991987
BFGS:   12 03:41:39     -109.119282        0.890426
BFGS:   13 03:41:39     -109.624012        0.792621
BFGS:   14 03:41:39     -110.071149        0.698424
BFGS:   15 03:41:39     -110.462820        0.607719
BFGS:   16 03:41:39     -110.801096        0.520435
BFGS:   17 03:41:40     -111.088023        0.436558
BFGS:   18 03:41:40     -111.325653        0.356119
BFGS:   19 03:41:40     -111.516061        0.279157
BFGS:   20 03:41:40     -111.661333        0.205648
BFGS:   21 03:41:40     -111.763499        0.135432
BFGS:   22 03:41:40     -111.824450        0.068207
BFGS:   23 03:41:40     -111.845877        0.003633
BFGS:   24 03:41:40     -111.845939        0.000073
