      Step     Time          Energy          fmax
BFGS:    0 03:43:06      -22.360772        4.367270
BFGS:    1 03:43:06      -22.768490        4.091624
BFGS:    2 03:43:06      -23.909616        3.301645
BFGS:    3 03:43:06      -24.829488        2.628688
BFGS:    4 03:43:06      -25.560033        2.053740
BFGS:    5 03:43:06      -26.129354        1.568624
BFGS:    6 03:43:06      -26.561822        1.156242
BFGS:    7 03:43:06      -26.876339        0.806727
BFGS:    8 03:43:06      -27.089925        0.521682
BFGS:    9 03:43:06      -27.218277        0.453475
BFGS:   10 03:43:06      -27.277475        0.490664
BFGS:   11 03:43:06      -27.290885        0.503342
BFGS:   12 03:43:06      -27.311498        0.512203
BFGS:   13 03:43:06      -27.365252        0.507267
BFGS:   14 03:43:06      -27.450182        0.442623
BFGS:   15 03:43:06      -27.533173        0.350126
BFGS:   16 03:43:06      -27.586248        0.272908
BFGS:   17 03:43:06      -27.644588        0.244213
BFGS:   18 03:43:06      -27.659776        0.248476
BFGS:   19 03:43:07      -27.666863        0.241930
BFGS:   20 03:43:07      -27.757604        0.174901
BFGS:   21 03:43:07      -27.798448        0.196694
BFGS:   22 03:43:07      -27.812465        0.194570
BFGS:   23 03:43:07      -27.815841        0.186906
BFGS:   24 03:43:07      -27.821655        0.169809
BFGS:   25 03:43:07      -27.833105        0.174717
BFGS:   26 03:43:07      -27.851109        0.140184
BFGS:   27 03:43:07      -27.868004        0.122382
BFGS:   28 03:43:07      -27.874938        0.179133
BFGS:   29 03:43:07      -27.878898        0.199428
BFGS:   30 03:43:07      -27.884438        0.201180
BFGS:   31 03:43:07      -27.893591        0.179977
BFGS:   32 03:43:07      -27.910948        0.124324
BFGS:   33 03:43:07      -27.931589        0.083757
BFGS:   34 03:43:07      -27.943851        0.058050
BFGS:   35 03:43:07      -27.946409        0.047573
BFGS:   36 03:43:07      -27.946834        0.042979
BFGS:   37 03:43:07      -27.947127        0.040212
BFGS:   38 03:43:07      -27.947574        0.037216
BFGS:   39 03:43:07      -27.948384        0.038656
BFGS:   40 03:43:07      -27.949785        0.042962
BFGS:   41 03:43:07      -27.951814        0.054400
BFGS:   42 03:43:07      -27.953759        0.066604
BFGS:   43 03:43:07      -27.954848        0.062115
BFGS:   44 03:43:07      -27.955381        0.052133
BFGS:   45 03:43:07      -27.955795        0.043734
BFGS:   46 03:43:07      -27.956563        0.041980
BFGS:   47 03:43:07      -27.958068        0.041952
BFGS:   48 03:43:07      -27.960023        0.031755
BFGS:   49 03:43:07      -27.961319        0.024869
BFGS:   50 03:43:07      -27.961781        0.029757
BFGS:   51 03:43:07      -27.961911        0.030382
BFGS:   52 03:43:07      -27.961999        0.029789
BFGS:   53 03:43:08      -27.962225        0.027681
BFGS:   54 03:43:08      -27.962718        0.023150
BFGS:   55 03:43:08      -27.963709        0.023902
BFGS:   56 03:43:08      -27.964988        0.028066
BFGS:   57 03:43:08      -27.965895        0.022077
BFGS:   58 03:43:08      -27.966204        0.021679
BFGS:   59 03:43:08      -27.966231        0.020021
BFGS:   60 03:43:08      -27.966262        0.018513
BFGS:   61 03:43:08      -27.966346        0.015328
BFGS:   62 03:43:08      -27.966522        0.011168
BFGS:   63 03:43:08      -27.966885        0.013302
BFGS:   64 03:43:08      -27.967384        0.015035
BFGS:   65 03:43:08      -27.967734        0.014052
BFGS:   66 03:43:08      -27.967831        0.010867
BFGS:   67 03:43:08      -27.967846        0.009213
BFGS:   68 03:43:08      -27.967853        0.008640
BFGS:   69 03:43:08      -27.967872        0.007430
BFGS:   70 03:43:08      -27.967913        0.005696
BFGS:   71 03:43:08      -27.967999        0.006935
BFGS:   72 03:43:08      -27.968125        0.007159
BFGS:   73 03:43:08      -27.968221        0.004897
BFGS:   74 03:43:08      -27.968253        0.003348
BFGS:   75 03:43:08      -27.968258        0.002576
BFGS:   76 03:43:08      -27.968259        0.002542
BFGS:   77 03:43:08      -27.968262        0.002573
BFGS:   78 03:43:08      -27.968269        0.002603
BFGS:   79 03:43:08      -27.968286        0.002651
BFGS:   80 03:43:08      -27.968321        0.003477
BFGS:   81 03:43:08      -27.968374        0.004158
BFGS:   82 03:43:08      -27.968417        0.003457
BFGS:   83 03:43:08      -27.968433        0.002448
BFGS:   84 03:43:08      -27.968435        0.002310
BFGS:   85 03:43:08      -27.968436        0.002257
BFGS:   86 03:43:08      -27.968439        0.002201
BFGS:   87 03:43:09      -27.968446        0.002298
BFGS:   88 03:43:09      -27.968464        0.002936
BFGS:   89 03:43:09      -27.968501        0.004142
BFGS:   90 03:43:09      -27.968556        0.005053
BFGS:   91 03:43:09      -27.968599        0.004281
BFGS:   92 03:43:09      -27.968615        0.003045
BFGS:   93 03:43:09      -27.968618        0.002825
BFGS:   94 03:43:09      -27.968620        0.002818
BFGS:   95 03:43:09      -27.968627        0.002774
BFGS:   96 03:43:09      -27.968642        0.002672
BFGS:   97 03:43:09      -27.968676        0.002580
BFGS:   98 03:43:09      -27.968732        0.002919
BFGS:   99 03:43:09      -27.968781        0.002668
BFGS:  100 03:43:09      -27.968804        0.001894
BFGS:  101 03:43:09      -27.968808        0.001534
BFGS:  102 03:43:09      -27.968808        0.001481
BFGS:  103 03:43:09      -27.968809        0.001413
BFGS:  104 03:43:09      -27.968810        0.001315
BFGS:  105 03:43:09      -27.968813        0.001247
BFGS:  106 03:43:09      -27.968820        0.001072
BFGS:  107 03:43:09      -27.968828        0.001042
BFGS:  108 03:43:09      -27.968833        0.000991
