      Step     Time          Energy          fmax
BFGS:    0 03:46:07      -12.654933        2.098340
BFGS:    1 03:46:07      -12.778508        1.794966
BFGS:    2 03:46:07      -13.092680        0.916371
BFGS:    3 03:46:07      -13.215029        0.666500
BFGS:    4 03:46:07      -13.307001        0.725738
BFGS:    5 03:46:07      -13.365296        0.746424
BFGS:    6 03:46:07      -13.431144        0.760370
BFGS:    7 03:46:07      -13.502550        0.796401
BFGS:    8 03:46:07      -13.597309        0.798592
BFGS:    9 03:46:07      -13.630411        1.050812
BFGS:   10 03:46:07      -13.698256        0.443074
BFGS:   11 03:46:07      -13.714475        0.321040
BFGS:   12 03:46:07      -13.723949        0.295631
BFGS:   13 03:46:07      -13.733150        0.307790
BFGS:   14 03:46:07      -13.796197        0.416854
BFGS:   15 03:46:07      -13.841645        0.308296
BFGS:   16 03:46:07      -13.866518        0.171764
BFGS:   17 03:46:07      -13.870259        0.126702
BFGS:   18 03:46:07      -13.872371        0.137028
BFGS:   19 03:46:07      -13.876940        0.155807
BFGS:   20 03:46:07      -13.884080        0.186795
BFGS:   21 03:46:07      -13.900569        0.249925
BFGS:   22 03:46:07      -13.917180        0.294509
BFGS:   23 03:46:07      -13.923551        0.265881
BFGS:   24 03:46:07      -13.939960        0.157388
BFGS:   25 03:46:07      -13.942085        0.110032
BFGS:   26 03:46:07      -13.943450        0.097757
BFGS:   27 03:46:07      -13.945705        0.095878
BFGS:   28 03:46:07      -13.947308        0.084918
BFGS:   29 03:46:07      -13.950763        0.111423
BFGS:   30 03:46:07      -13.954581        0.121322
BFGS:   31 03:46:07      -13.956849        0.103943
BFGS:   32 03:46:07      -13.957964        0.082809
BFGS:   33 03:46:07      -13.958636        0.078002
BFGS:   34 03:46:07      -13.959290        0.074068
BFGS:   35 03:46:07      -13.960896        0.069180
BFGS:   36 03:46:07      -13.964049        0.087795
BFGS:   37 03:46:07      -13.968776        0.098153
BFGS:   38 03:46:07      -13.972189        0.069093
BFGS:   39 03:46:08      -13.973808        0.045225
BFGS:   40 03:46:08      -13.974318        0.037450
BFGS:   41 03:46:08      -13.974416        0.038525
BFGS:   42 03:46:08      -13.974687        0.037157
BFGS:   43 03:46:08      -13.975272        0.033058
BFGS:   44 03:46:08      -13.976194        0.032200
BFGS:   45 03:46:08      -13.977254        0.028353
BFGS:   46 03:46:08      -13.977755        0.032244
BFGS:   47 03:46:08      -13.977889        0.034507
BFGS:   48 03:46:08      -13.977993        0.035644
BFGS:   49 03:46:08      -13.978191        0.036831
BFGS:   50 03:46:08      -13.978631        0.037929
BFGS:   51 03:46:08      -13.979485        0.037100
BFGS:   52 03:46:08      -13.980561        0.030258
BFGS:   53 03:46:08      -13.981186        0.027358
BFGS:   54 03:46:08      -13.981409        0.026806
BFGS:   55 03:46:08      -13.981481        0.025319
BFGS:   56 03:46:08      -13.981530        0.024364
BFGS:   57 03:46:08      -13.981669        0.022007
BFGS:   58 03:46:08      -13.981915        0.017246
BFGS:   59 03:46:08      -13.982292        0.016382
BFGS:   60 03:46:08      -13.982582        0.016113
BFGS:   61 03:46:08      -13.982698        0.014580
BFGS:   62 03:46:08      -13.982729        0.014102
BFGS:   63 03:46:08      -13.982747        0.014495
BFGS:   64 03:46:08      -13.982802        0.015283
BFGS:   65 03:46:08      -13.982920        0.016119
BFGS:   66 03:46:08      -13.983169        0.015996
BFGS:   67 03:46:08      -13.983527        0.012752
BFGS:   68 03:46:08      -13.983808        0.010232
BFGS:   69 03:46:08      -13.983902        0.007238
BFGS:   70 03:46:08      -13.983913        0.007554
BFGS:   71 03:46:08      -13.983916        0.007643
BFGS:   72 03:46:08      -13.983928        0.007787
BFGS:   73 03:46:08      -13.983953        0.007840
BFGS:   74 03:46:08      -13.984015        0.007551
BFGS:   75 03:46:08      -13.984129        0.008654
BFGS:   76 03:46:08      -13.984254        0.008701
BFGS:   77 03:46:08      -13.984316        0.005189
BFGS:   78 03:46:08      -13.984332        0.003650
BFGS:   79 03:46:08      -13.984333        0.003498
BFGS:   80 03:46:08      -13.984334        0.003365
BFGS:   81 03:46:09      -13.984337        0.003044
BFGS:   82 03:46:09      -13.984343        0.002604
BFGS:   83 03:46:09      -13.984352        0.002094
BFGS:   84 03:46:09      -13.984361        0.001939
BFGS:   85 03:46:09      -13.984365        0.001915
BFGS:   86 03:46:09      -13.984366        0.001915
BFGS:   87 03:46:09      -13.984366        0.001908
BFGS:   88 03:46:09      -13.984366        0.001887
BFGS:   89 03:46:09      -13.984367        0.001837
BFGS:   90 03:46:09      -13.984369        0.001714
BFGS:   91 03:46:09      -13.984374        0.002021
BFGS:   92 03:46:09      -13.984382        0.002585
BFGS:   93 03:46:09      -13.984389        0.002574
BFGS:   94 03:46:09      -13.984393        0.002058
BFGS:   95 03:46:09      -13.984393        0.001724
BFGS:   96 03:46:09      -13.984394        0.001591
BFGS:   97 03:46:09      -13.984394        0.001377
BFGS:   98 03:46:09      -13.984396        0.001329
BFGS:   99 03:46:09      -13.984399        0.001354
BFGS:  100 03:46:09      -13.984404        0.001223
BFGS:  101 03:46:09      -13.984409        0.000998
