      Step     Time          Energy          fmax
BFGS:    0 03:46:46       -5.128934        7.718288
BFGS:    1 03:46:46       -7.359992        4.846247
BFGS:    2 03:46:46      -10.022062        3.039041
BFGS:    3 03:46:46      -11.379315        1.844690
BFGS:    4 03:46:46      -12.070252        1.200568
BFGS:    5 03:46:46      -12.409986        0.876273
BFGS:    6 03:46:46      -12.592970        1.026174
BFGS:    7 03:46:46      -12.785631        1.094127
BFGS:    8 03:46:46      -12.968702        1.028924
BFGS:    9 03:46:46      -13.129722        0.961335
BFGS:   10 03:46:46      -13.239274        0.771979
BFGS:   11 03:46:46      -13.311300        0.534287
BFGS:   12 03:46:46      -13.369099        0.549060
BFGS:   13 03:46:46      -13.377809        0.433288
BFGS:   14 03:46:46      -13.429291        0.335404
BFGS:   15 03:46:46      -13.488125        0.392545
BFGS:   16 03:46:46      -13.521502        0.551134
BFGS:   17 03:46:46      -13.546086        0.465171
BFGS:   18 03:46:46      -13.558080        0.362833
BFGS:   19 03:46:46      -13.581323        0.326645
BFGS:   20 03:46:46      -13.588134        0.313692
BFGS:   21 03:46:46      -13.651650        0.202912
BFGS:   22 03:46:46      -13.658253        0.216381
BFGS:   23 03:46:46      -13.662191        0.226491
BFGS:   24 03:46:46      -13.671055        0.244510
BFGS:   25 03:46:46      -13.687263        0.316105
BFGS:   26 03:46:46      -13.714592        0.313720
BFGS:   27 03:46:46      -13.748378        0.271960
BFGS:   28 03:46:46      -13.779152        0.227911
BFGS:   29 03:46:46      -13.784330        0.176730
BFGS:   30 03:46:46      -13.788150        0.149244
BFGS:   31 03:46:46      -13.791006        0.145603
BFGS:   32 03:46:46      -13.798849        0.118592
BFGS:   33 03:46:46      -13.807168        0.109049
BFGS:   34 03:46:46      -13.816013        0.112015
BFGS:   35 03:46:47      -13.823407        0.135821
BFGS:   36 03:46:47      -13.827036        0.136587
BFGS:   37 03:46:47      -13.829101        0.129609
BFGS:   38 03:46:47      -13.835165        0.132286
BFGS:   39 03:46:47      -13.843984        0.133683
BFGS:   40 03:46:47      -13.853364        0.126654
BFGS:   41 03:46:47      -13.858209        0.131436
BFGS:   42 03:46:47      -13.859906        0.130139
BFGS:   43 03:46:47      -13.861339        0.134251
BFGS:   44 03:46:47      -13.864796        0.144863
BFGS:   45 03:46:47      -13.872620        0.138853
BFGS:   46 03:46:47      -13.886651        0.111602
BFGS:   47 03:46:47      -13.899557        0.117457
BFGS:   48 03:46:47      -13.905667        0.148956
BFGS:   49 03:46:47      -13.910580        0.109246
BFGS:   50 03:46:47      -13.912808        0.083910
BFGS:   51 03:46:47      -13.913639        0.077977
BFGS:   52 03:46:47      -13.915473        0.092385
BFGS:   53 03:46:47      -13.916968        0.097344
BFGS:   54 03:46:47      -13.922087        0.128859
BFGS:   55 03:46:47      -13.929404        0.173422
BFGS:   56 03:46:47      -13.939175        0.192127
BFGS:   57 03:46:47      -13.950157        0.109314
BFGS:   58 03:46:47      -13.954180        0.075523
BFGS:   59 03:46:47      -13.954672        0.084818
BFGS:   60 03:46:47      -13.956117        0.059616
BFGS:   61 03:46:47      -13.956782        0.059176
BFGS:   62 03:46:47      -13.958911        0.075329
BFGS:   63 03:46:47      -13.959718        0.073260
BFGS:   64 03:46:47      -13.960811        0.066009
BFGS:   65 03:46:47      -13.962229        0.074426
BFGS:   66 03:46:47      -13.964970        0.085501
BFGS:   67 03:46:47      -13.967964        0.074941
BFGS:   68 03:46:47      -13.971877        0.070445
BFGS:   69 03:46:47      -13.975273        0.040243
BFGS:   70 03:46:47      -13.976195        0.037018
BFGS:   71 03:46:47      -13.976674        0.037091
BFGS:   72 03:46:47      -13.976764        0.036952
BFGS:   73 03:46:47      -13.978381        0.046202
BFGS:   74 03:46:47      -13.979469        0.048138
BFGS:   75 03:46:47      -13.981137        0.038561
BFGS:   76 03:46:48      -13.982147        0.025230
BFGS:   77 03:46:48      -13.982871        0.018587
BFGS:   78 03:46:48      -13.983210        0.014590
BFGS:   79 03:46:48      -13.983300        0.014613
BFGS:   80 03:46:48      -13.983325        0.014291
BFGS:   81 03:46:48      -13.983345        0.014085
BFGS:   82 03:46:48      -13.983379        0.013732
BFGS:   83 03:46:48      -13.983453        0.012937
BFGS:   84 03:46:48      -13.983610        0.014351
BFGS:   85 03:46:48      -13.983873        0.015985
BFGS:   86 03:46:48      -13.984148        0.012004
BFGS:   87 03:46:48      -13.984290        0.006823
BFGS:   88 03:46:48      -13.984317        0.004003
BFGS:   89 03:46:48      -13.984320        0.003834
BFGS:   90 03:46:48      -13.984321        0.003741
BFGS:   91 03:46:48      -13.984324        0.003616
BFGS:   92 03:46:48      -13.984331        0.003386
BFGS:   93 03:46:48      -13.984345        0.004130
BFGS:   94 03:46:48      -13.984369        0.004661
BFGS:   95 03:46:48      -13.984395        0.004153
BFGS:   96 03:46:48      -13.984408        0.002177
BFGS:   97 03:46:48      -13.984410        0.001710
BFGS:   98 03:46:48      -13.984411        0.001784
BFGS:   99 03:46:48      -13.984411        0.001851
BFGS:  100 03:46:48      -13.984412        0.001854
BFGS:  101 03:46:48      -13.984413        0.001814
BFGS:  102 03:46:48      -13.984415        0.001469
BFGS:  103 03:46:48      -13.984417        0.001360
BFGS:  104 03:46:48      -13.984418        0.000710
