      Step     Time          Energy          fmax
BFGS:    0 03:49:07      -11.957847        6.506447
BFGS:    1 03:49:07      -13.401373        6.002359
BFGS:    2 03:49:07      -16.105116        5.021304
BFGS:    3 03:49:07      -18.331155        4.174629
BFGS:    4 03:49:07      -20.150350        3.456351
BFGS:    5 03:49:07      -21.616443        2.840386
BFGS:    6 03:49:07      -22.776828        2.299510
BFGS:    7 03:49:07      -23.680559        1.855492
BFGS:    8 03:49:07      -24.371889        1.495357
BFGS:    9 03:49:07      -24.885520        1.192543
BFGS:   10 03:49:07      -25.247996        0.949292
BFGS:   11 03:49:07      -25.486044        0.760595
BFGS:   12 03:49:07      -25.619427        0.605363
BFGS:   13 03:49:07      -25.670577        0.612835
BFGS:   14 03:49:07      -25.690403        0.643540
BFGS:   15 03:49:07      -25.745260        0.697241
BFGS:   16 03:49:07      -25.832482        0.740520
BFGS:   17 03:49:07      -25.944721        0.765106
BFGS:   18 03:49:07      -26.078633        0.775181
BFGS:   19 03:49:07      -26.229571        0.775754
BFGS:   20 03:49:07      -26.393691        0.770017
BFGS:   21 03:49:07      -26.567361        0.754787
BFGS:   22 03:49:07      -26.746135        0.725526
BFGS:   23 03:49:07      -26.925049        0.681710
BFGS:   24 03:49:07      -27.099244        0.624470
BFGS:   25 03:49:07      -27.264013        0.554099
BFGS:   26 03:49:07      -27.412407        0.469589
BFGS:   27 03:49:07      -27.540866        0.376834
BFGS:   28 03:49:07      -27.648167        0.316265
BFGS:   29 03:49:07      -27.731985        0.270023
BFGS:   30 03:49:07      -27.790734        0.223670
BFGS:   31 03:49:08      -27.824106        0.179913
BFGS:   32 03:49:08      -27.833150        0.217837
BFGS:   33 03:49:08      -27.834720        0.217795
BFGS:   34 03:49:08      -27.851918        0.179116
BFGS:   35 03:49:08      -27.865612        0.166613
BFGS:   36 03:49:08      -27.877382        0.169322
BFGS:   37 03:49:08      -27.892653        0.155907
BFGS:   38 03:49:08      -27.914384        0.111056
BFGS:   39 03:49:08      -27.927814        0.089109
BFGS:   40 03:49:08      -27.931470        0.095035
BFGS:   41 03:49:08      -27.932342        0.095714
BFGS:   42 03:49:08      -27.932752        0.094920
BFGS:   43 03:49:08      -27.933969        0.092111
BFGS:   44 03:49:08      -27.936344        0.085952
BFGS:   45 03:49:08      -27.940807        0.072894
BFGS:   46 03:49:08      -27.946398        0.087667
BFGS:   47 03:49:08      -27.950729        0.104833
BFGS:   48 03:49:08      -27.952194        0.096672
BFGS:   49 03:49:08      -27.953206        0.085263
BFGS:   50 03:49:08      -27.955557        0.057379
BFGS:   51 03:49:08      -27.958501        0.050855
BFGS:   52 03:49:08      -27.960461        0.026603
BFGS:   53 03:49:08      -27.960944        0.018422
BFGS:   54 03:49:08      -27.961057        0.015227
BFGS:   55 03:49:08      -27.961091        0.015947
BFGS:   56 03:49:08      -27.961169        0.014729
BFGS:   57 03:49:08      -27.961258        0.009978
BFGS:   58 03:49:08      -27.961322        0.008512
BFGS:   59 03:49:08      -27.961341        0.008552
BFGS:   60 03:49:08      -27.961346        0.008816
BFGS:   61 03:49:08      -27.961354        0.008868
BFGS:   62 03:49:08      -27.961372        0.008414
BFGS:   63 03:49:08      -27.961405        0.006762
BFGS:   64 03:49:08      -27.961445        0.006769
BFGS:   65 03:49:08      -27.961469        0.004453
BFGS:   66 03:49:09      -27.961475        0.003596
BFGS:   67 03:49:09      -27.961477        0.002912
BFGS:   68 03:49:09      -27.961478        0.002804
BFGS:   69 03:49:09      -27.961481        0.002165
BFGS:   70 03:49:09      -27.961483        0.001272
BFGS:   71 03:49:09      -27.961484        0.000975
