      Step     Time          Energy          fmax
BFGS:    0 03:49:37      -12.735433        1.151589
BFGS:    1 03:49:37      -12.772143        1.149779
BFGS:    2 03:49:37      -13.190107        0.986057
BFGS:    3 03:49:37      -13.504521        0.708791
BFGS:    4 03:49:37      -13.664982        0.666621
BFGS:    5 03:49:37      -13.683029        0.723772
BFGS:    6 03:49:37      -13.700184        0.713230
BFGS:    7 03:49:37      -13.821273        0.543860
BFGS:    8 03:49:37      -13.914147        0.353332
BFGS:    9 03:49:37      -13.967638        0.211442
BFGS:   10 03:49:37      -13.974702        0.139815
BFGS:   11 03:49:37      -13.975388        0.119672
BFGS:   12 03:49:37      -13.976022        0.102469
BFGS:   13 03:49:37      -13.977489        0.086043
BFGS:   14 03:49:37      -13.979169        0.057349
BFGS:   15 03:49:37      -13.980315        0.018431
BFGS:   16 03:49:37      -13.980580        0.009150
BFGS:   17 03:49:37      -13.980605        0.008372
BFGS:   18 03:49:37      -13.980608        0.007918
BFGS:   19 03:49:37      -13.980613        0.007219
BFGS:   20 03:49:37      -13.980625        0.006383
BFGS:   21 03:49:37      -13.980647        0.007312
BFGS:   22 03:49:37      -13.980678        0.008989
BFGS:   23 03:49:37      -13.980702        0.010242
BFGS:   24 03:49:37      -13.980711        0.008846
BFGS:   25 03:49:37      -13.980714        0.007353
BFGS:   26 03:49:37      -13.980716        0.005996
BFGS:   27 03:49:37      -13.980722        0.006210
BFGS:   28 03:49:37      -13.980731        0.005261
BFGS:   29 03:49:37      -13.980739        0.002795
BFGS:   30 03:49:37      -13.980742        0.001201
BFGS:   31 03:49:37      -13.980742        0.000239
