      Step     Time          Energy          fmax
BFGS:    0 03:49:58      -26.093818        1.225822
BFGS:    1 03:49:58      -26.125612        1.195721
BFGS:    2 03:49:58      -26.449150        0.890912
BFGS:    3 03:49:58      -26.704961        0.658798
BFGS:    4 03:49:58      -26.902850        0.522895
BFGS:    5 03:49:58      -27.051945        0.499820
BFGS:    6 03:49:58      -27.160548        0.491816
BFGS:    7 03:49:58      -27.236414        0.532591
BFGS:    8 03:49:58      -27.287279        0.591623
BFGS:    9 03:49:58      -27.321970        0.641041
BFGS:   10 03:49:58      -27.350405        0.669997
BFGS:   11 03:49:58      -27.392019        0.680357
BFGS:   12 03:49:58      -27.457111        0.660289
BFGS:   13 03:49:58      -27.553015        0.593896
BFGS:   14 03:49:59      -27.668012        0.462878
BFGS:   15 03:49:59      -27.733173        0.365569
BFGS:   16 03:49:59      -27.773587        0.312179
BFGS:   17 03:49:59      -27.789884        0.314274
BFGS:   18 03:49:59      -27.793140        0.303101
BFGS:   19 03:49:59      -27.848802        0.174407
BFGS:   20 03:49:59      -27.890883        0.121885
BFGS:   21 03:49:59      -27.927392        0.134950
BFGS:   22 03:49:59      -27.941708        0.133872
BFGS:   23 03:49:59      -27.943194        0.113994
BFGS:   24 03:49:59      -27.943823        0.117373
BFGS:   25 03:49:59      -27.944864        0.127954
BFGS:   26 03:49:59      -27.947121        0.132779
BFGS:   27 03:49:59      -27.951086        0.116013
BFGS:   28 03:49:59      -27.955631        0.067591
BFGS:   29 03:49:59      -27.958150        0.035792
BFGS:   30 03:49:59      -27.958549        0.024659
BFGS:   31 03:49:59      -27.958582        0.024203
BFGS:   32 03:49:59      -27.958618        0.023715
BFGS:   33 03:49:59      -27.958719        0.022557
BFGS:   34 03:49:59      -27.958951        0.026517
BFGS:   35 03:49:59      -27.959458        0.034200
BFGS:   36 03:49:59      -27.960283        0.038187
BFGS:   37 03:49:59      -27.961091        0.028169
BFGS:   38 03:49:59      -27.961433        0.010033
BFGS:   39 03:49:59      -27.961482        0.001200
BFGS:   40 03:49:59      -27.961485        0.000428
