      Step     Time          Energy          fmax
BFGS:    0 03:50:08      -12.496800        1.193258
BFGS:    1 03:50:08      -12.545220        1.116557
BFGS:    2 03:50:08      -13.016582        0.945465
BFGS:    3 03:50:08      -13.336984        0.883514
BFGS:    4 03:50:08      -13.538290        0.776444
BFGS:    5 03:50:08      -13.642777        0.627996
BFGS:    6 03:50:08      -13.679857        0.583738
BFGS:    7 03:50:08      -13.699986        0.589349
BFGS:    8 03:50:08      -13.737235        0.568089
BFGS:    9 03:50:08      -13.786723        0.503938
BFGS:   10 03:50:08      -13.851565        0.346193
BFGS:   11 03:50:08      -13.877843        0.383693
BFGS:   12 03:50:08      -13.883277        0.316784
BFGS:   13 03:50:08      -13.890035        0.262949
BFGS:   14 03:50:08      -13.904913        0.214978
BFGS:   15 03:50:08      -13.929796        0.197212
BFGS:   16 03:50:08      -13.956439        0.210006
BFGS:   17 03:50:08      -13.970688        0.168361
BFGS:   18 03:50:08      -13.973397        0.110024
BFGS:   19 03:50:08      -13.973925        0.096047
BFGS:   20 03:50:08      -13.974503        0.105532
BFGS:   21 03:50:08      -13.975340        0.104020
BFGS:   22 03:50:09      -13.976834        0.080632
BFGS:   23 03:50:09      -13.978162        0.039979
BFGS:   24 03:50:09      -13.978748        0.026386
BFGS:   25 03:50:09      -13.978836        0.026425
BFGS:   26 03:50:09      -13.978868        0.027139
BFGS:   27 03:50:09      -13.978967        0.027867
BFGS:   28 03:50:09      -13.979168        0.027821
BFGS:   29 03:50:09      -13.979590        0.034817
BFGS:   30 03:50:09      -13.980165        0.038111
BFGS:   31 03:50:09      -13.980600        0.023760
BFGS:   32 03:50:09      -13.980729        0.006214
BFGS:   33 03:50:09      -13.980740        0.001221
BFGS:   34 03:50:09      -13.980741        0.001131
BFGS:   35 03:50:09      -13.980741        0.001120
BFGS:   36 03:50:09      -13.980741        0.001064
BFGS:   37 03:50:09      -13.980741        0.000940
