      Step     Time          Energy          fmax
BFGS:    0 03:50:27      -11.559868        4.715024
BFGS:    1 03:50:27      -11.866028        4.159891
BFGS:    2 03:50:27      -12.580627        2.829356
BFGS:    3 03:50:27      -13.064107        1.817071
BFGS:    4 03:50:27      -13.372311        1.062071
BFGS:    5 03:50:27      -13.549937        0.561028
BFGS:    6 03:50:27      -13.641628        0.576129
BFGS:    7 03:50:27      -13.678353        0.587620
BFGS:    8 03:50:27      -13.704989        0.572831
BFGS:    9 03:50:27      -13.741253        0.505546
BFGS:   10 03:50:27      -13.782761        0.450997
BFGS:   11 03:50:27      -13.820628        0.399396
BFGS:   12 03:50:27      -13.874986        0.260359
BFGS:   13 03:50:27      -13.889594        0.237911
BFGS:   14 03:50:27      -13.892123        0.223623
BFGS:   15 03:50:27      -13.895030        0.218705
BFGS:   16 03:50:27      -13.908100        0.210707
BFGS:   17 03:50:27      -13.927655        0.205454
BFGS:   18 03:50:27      -13.956349        0.175594
BFGS:   19 03:50:27      -13.976567        0.088445
BFGS:   20 03:50:27      -13.980138        0.030117
BFGS:   21 03:50:27      -13.980596        0.010114
BFGS:   22 03:50:27      -13.980640        0.007458
BFGS:   23 03:50:27      -13.980642        0.007432
BFGS:   24 03:50:27      -13.980649        0.007261
BFGS:   25 03:50:27      -13.980661        0.006803
BFGS:   26 03:50:27      -13.980683        0.005538
BFGS:   27 03:50:27      -13.980706        0.006877
BFGS:   28 03:50:27      -13.980717        0.006786
BFGS:   29 03:50:28      -13.980720        0.005715
BFGS:   30 03:50:28      -13.980721        0.005628
BFGS:   31 03:50:28      -13.980725        0.005178
BFGS:   32 03:50:28      -13.980731        0.003911
BFGS:   33 03:50:28      -13.980738        0.001799
BFGS:   34 03:50:28      -13.980742        0.001228
BFGS:   35 03:50:28      -13.980742        0.000453
