      Step     Time          Energy          fmax
BFGS:    0 03:52:14      -10.880744        7.362711
BFGS:    1 03:52:14      -12.472984        6.761054
BFGS:    2 03:52:14      -15.148721        5.708721
BFGS:    3 03:52:14      -17.404731        4.784944
BFGS:    4 03:52:14      -19.297707        4.003520
BFGS:    5 03:52:14      -20.876436        3.342410
BFGS:    6 03:52:14      -22.181601        2.773549
BFGS:    7 03:52:14      -23.245569        2.280431
BFGS:    8 03:52:14      -24.102369        1.871819
BFGS:    9 03:52:14      -24.778998        1.501597
BFGS:   10 03:52:14      -25.298346        1.201384
BFGS:   11 03:52:14      -25.685209        0.967082
BFGS:   12 03:52:14      -25.959274        0.792003
BFGS:   13 03:52:14      -26.139265        0.675339
BFGS:   14 03:52:14      -26.243783        0.696986
BFGS:   15 03:52:14      -26.291515        0.749192
BFGS:   16 03:52:14      -26.316392        0.770043
BFGS:   17 03:52:14      -26.397287        0.806785
BFGS:   18 03:52:14      -26.505846        0.825646
BFGS:   19 03:52:14      -26.642287        0.824143
BFGS:   20 03:52:14      -26.800006        0.802058
BFGS:   21 03:52:14      -26.972968        0.770867
BFGS:   22 03:52:15      -27.154016        0.721769
BFGS:   23 03:52:15      -27.326617        0.652188
BFGS:   24 03:52:15      -27.486151        0.565544
BFGS:   25 03:52:15      -27.628021        0.462344
BFGS:   26 03:52:15      -27.747244        0.350898
BFGS:   27 03:52:15      -27.837539        0.265025
BFGS:   28 03:52:15      -27.894500        0.182991
BFGS:   29 03:52:15      -27.910226        0.149787
BFGS:   30 03:52:15      -27.911426        0.131724
BFGS:   31 03:52:15      -27.913903        0.117538
BFGS:   32 03:52:15      -27.916078        0.103956
BFGS:   33 03:52:15      -27.918429        0.108310
BFGS:   34 03:52:15      -27.921899        0.114522
BFGS:   35 03:52:15      -27.928122        0.112656
BFGS:   36 03:52:15      -27.936740        0.088253
BFGS:   37 03:52:15      -27.943788        0.074536
BFGS:   38 03:52:15      -27.946020        0.050270
BFGS:   39 03:52:15      -27.946289        0.046931
BFGS:   40 03:52:15      -27.946423        0.047743
BFGS:   41 03:52:15      -27.946814        0.049028
BFGS:   42 03:52:15      -27.947656        0.050485
BFGS:   43 03:52:15      -27.949571        0.050836
BFGS:   44 03:52:15      -27.952787        0.057212
BFGS:   45 03:52:15      -27.956139        0.064093
BFGS:   46 03:52:15      -27.957693        0.050695
BFGS:   47 03:52:15      -27.958026        0.038895
BFGS:   48 03:52:15      -27.958113        0.040382
BFGS:   49 03:52:15      -27.958248        0.040803
BFGS:   50 03:52:15      -27.958562        0.039733
BFGS:   51 03:52:15      -27.959123        0.035168
BFGS:   52 03:52:15      -27.959820        0.026104
BFGS:   53 03:52:15      -27.960273        0.027758
BFGS:   54 03:52:15      -27.960438        0.027337
BFGS:   55 03:52:15      -27.960548        0.024553
BFGS:   56 03:52:16      -27.960749        0.022258
BFGS:   57 03:52:16      -27.961041        0.021351
BFGS:   58 03:52:16      -27.961308        0.013016
BFGS:   59 03:52:16      -27.961405        0.004572
BFGS:   60 03:52:16      -27.961417        0.002949
BFGS:   61 03:52:16      -27.961418        0.002923
BFGS:   62 03:52:16      -27.961419        0.002908
BFGS:   63 03:52:16      -27.961422        0.002877
BFGS:   64 03:52:16      -27.961425        0.002810
BFGS:   65 03:52:16      -27.961429        0.002688
BFGS:   66 03:52:16      -27.961431        0.002612
BFGS:   67 03:52:16      -27.961432        0.002592
BFGS:   68 03:52:16      -27.961433        0.002712
BFGS:   69 03:52:16      -27.961437        0.003250
BFGS:   70 03:52:16      -27.961445        0.003758
BFGS:   71 03:52:16      -27.961459        0.003767
BFGS:   72 03:52:16      -27.961476        0.002926
BFGS:   73 03:52:16      -27.961484        0.001831
BFGS:   74 03:52:16      -27.961486        0.001192
BFGS:   75 03:52:16      -27.961486        0.000932
