      Step     Time          Energy          fmax
BFGS:    0 03:54:50       -9.622185        5.424723
BFGS:    1 03:54:50      -10.171925        4.712839
BFGS:    2 03:54:50      -11.308680        3.239806
BFGS:    3 03:54:50      -12.101036        2.106117
BFGS:    4 03:54:50      -12.624854        1.267067
BFGS:    5 03:54:50      -12.939898        0.719049
BFGS:    6 03:54:50      -13.096699        0.582325
BFGS:    7 03:54:50      -13.138569        0.581068
BFGS:    8 03:54:50      -13.160059        0.602862
BFGS:    9 03:54:50      -13.206614        0.630797
BFGS:   10 03:54:50      -13.308720        0.640737
BFGS:   11 03:54:50      -13.433400        0.677571
BFGS:   12 03:54:50      -13.568293        0.676574
BFGS:   13 03:54:50      -13.702961        0.617521
BFGS:   14 03:54:50      -13.814616        0.490823
BFGS:   15 03:54:50      -13.867963        0.349608
BFGS:   16 03:54:50      -13.898305        0.303047
BFGS:   17 03:54:50      -13.904994        0.307909
BFGS:   18 03:54:50      -13.907796        0.288611
BFGS:   19 03:54:50      -13.928613        0.151781
BFGS:   20 03:54:50      -13.945981        0.109891
BFGS:   21 03:54:50      -13.960476        0.080426
BFGS:   22 03:54:50      -13.964402        0.088217
BFGS:   23 03:54:50      -13.964943        0.104720
BFGS:   24 03:54:50      -13.965493        0.116047
BFGS:   25 03:54:50      -13.966693        0.124601
BFGS:   26 03:54:50      -13.968981        0.116640
BFGS:   27 03:54:50      -13.972169        0.074319
BFGS:   28 03:54:50      -13.974625        0.060488
BFGS:   29 03:54:50      -13.975392        0.041987
BFGS:   30 03:54:50      -13.975530        0.046110
BFGS:   31 03:54:51      -13.975673        0.049838
BFGS:   32 03:54:51      -13.976035        0.053688
BFGS:   33 03:54:51      -13.976802        0.054980
BFGS:   34 03:54:51      -13.978179        0.048061
BFGS:   35 03:54:51      -13.979740        0.041323
BFGS:   36 03:54:51      -13.980583        0.019007
BFGS:   37 03:54:51      -13.980729        0.003798
BFGS:   38 03:54:51      -13.980739        0.001079
BFGS:   39 03:54:51      -13.980739        0.001051
BFGS:   40 03:54:51      -13.980739        0.001043
BFGS:   41 03:54:51      -13.980740        0.000983
