      Step     Time          Energy          fmax
BFGS:    0 05:17:23     -225.774502        0.154654
BFGS:    1 05:17:24     -225.776888        0.153965
BFGS:    2 05:17:24     -225.853817        0.109297
BFGS:    3 05:17:24     -225.855183        0.108081
BFGS:    4 05:17:24     -225.873423        0.093549
BFGS:    5 05:17:24     -225.878011        0.092942
BFGS:    6 05:17:24     -225.880553        0.095034
BFGS:    7 05:17:24     -225.882976        0.096574
BFGS:    8 05:17:24     -225.889724        0.097821
BFGS:    9 05:17:25     -225.900832        0.094902
BFGS:   10 05:17:25     -225.914504        0.084523
BFGS:   11 05:17:25     -225.922774        0.072584
BFGS:   12 05:17:25     -225.925985        0.066083
BFGS:   13 05:17:25     -225.927840        0.063153
BFGS:   14 05:17:25     -225.931368        0.059064
BFGS:   15 05:17:25     -225.937788        0.053014
BFGS:   16 05:17:25     -225.946008        0.046992
BFGS:   17 05:17:26     -225.951709        0.045302
BFGS:   18 05:17:26     -225.953836        0.046710
BFGS:   19 05:17:26     -225.954980        0.047785
BFGS:   20 05:17:26     -225.957338        0.048762
BFGS:   21 05:17:26     -225.962344        0.048544
BFGS:   22 05:17:26     -225.971419        0.044665
BFGS:   23 05:17:26     -225.982107        0.039747
BFGS:   24 05:17:26     -225.988699        0.035899
BFGS:   25 05:17:27     -225.990692        0.042582
BFGS:   26 05:17:27     -225.991732        0.043244
BFGS:   27 05:17:27     -225.994054        0.041794
BFGS:   28 05:17:27     -225.998736        0.036525
BFGS:   29 05:17:27     -226.006901        0.030416
BFGS:   30 05:17:27     -226.015410        0.028474
BFGS:   31 05:17:27     -226.019526        0.030018
BFGS:   32 05:17:27     -226.020276        0.032195
BFGS:   33 05:17:28     -226.020437        0.032440
BFGS:   34 05:17:28     -226.020728        0.032379
BFGS:   35 05:17:28     -226.021418        0.031636
BFGS:   36 05:17:28     -226.022850        0.029225
BFGS:   37 05:17:28     -226.025044        0.024231
BFGS:   38 05:17:28     -226.026949        0.018568
BFGS:   39 05:17:28     -226.027713        0.016065
BFGS:   40 05:17:28     -226.027878        0.016027
BFGS:   41 05:17:29     -226.027970        0.016244
BFGS:   42 05:17:29     -226.028202        0.016584
BFGS:   43 05:17:29     -226.028604        0.016697
BFGS:   44 05:17:29     -226.029146        0.016171
BFGS:   45 05:17:29     -226.029519        0.015095
BFGS:   46 05:17:29     -226.029665        0.014272
BFGS:   47 05:17:29     -226.029741        0.013839
BFGS:   48 05:17:29     -226.029862        0.013338
BFGS:   49 05:17:30     -226.030058        0.012731
BFGS:   50 05:17:30     -226.030264        0.012299
BFGS:   51 05:17:30     -226.030373        0.012289
BFGS:   52 05:17:30     -226.030411        0.012411
BFGS:   53 05:17:30     -226.030440        0.012447
BFGS:   54 05:17:30     -226.030508        0.012291
BFGS:   55 05:17:30     -226.030647        0.011566
BFGS:   56 05:17:30     -226.030880        0.009734
BFGS:   57 05:17:31     -226.031110        0.007193
BFGS:   58 05:17:31     -226.031216        0.005632
BFGS:   59 05:17:31     -226.031239        0.005387
BFGS:   60 05:17:31     -226.031249        0.005421
BFGS:   61 05:17:31     -226.031269        0.005461
BFGS:   62 05:17:31     -226.031303        0.005373
BFGS:   63 05:17:31     -226.031344        0.005039
BFGS:   64 05:17:31     -226.031372        0.005229
BFGS:   65 05:17:32     -226.031385        0.004897
BFGS:   66 05:17:32     -226.031399        0.004184
BFGS:   67 05:17:32     -226.031425        0.003802
BFGS:   68 05:17:32     -226.031470        0.003437
BFGS:   69 05:17:32     -226.031525        0.003890
BFGS:   70 05:17:32     -226.031556        0.004296
BFGS:   71 05:17:32     -226.031565        0.004426
BFGS:   72 05:17:32     -226.031568        0.004430
BFGS:   73 05:17:33     -226.031573        0.004409
BFGS:   74 05:17:33     -226.031585        0.004351
BFGS:   75 05:17:33     -226.031608        0.004231
BFGS:   76 05:17:33     -226.031638        0.004066
BFGS:   77 05:17:33     -226.031658        0.003950
BFGS:   78 05:17:33     -226.031666        0.003926
BFGS:   79 05:17:33     -226.031670        0.003927
BFGS:   80 05:17:33     -226.031678        0.003916
BFGS:   81 05:17:34     -226.031690        0.003863
BFGS:   82 05:17:34     -226.031703        0.003758
BFGS:   83 05:17:34     -226.031710        0.003661
BFGS:   84 05:17:34     -226.031713        0.003618
BFGS:   85 05:17:34     -226.031716        0.003591
BFGS:   86 05:17:34     -226.031722        0.003542
BFGS:   87 05:17:34     -226.031734        0.003448
BFGS:   88 05:17:34     -226.031755        0.003295
BFGS:   89 05:17:35     -226.031774        0.003146
BFGS:   90 05:17:35     -226.031783        0.003094
BFGS:   91 05:17:35     -226.031786        0.003104
BFGS:   92 05:17:35     -226.031787        0.003111
BFGS:   93 05:17:35     -226.031791        0.003103
BFGS:   94 05:17:35     -226.031798        0.003042
BFGS:   95 05:17:35     -226.031810        0.002877
BFGS:   96 05:17:35     -226.031821        0.003419
BFGS:   97 05:17:36     -226.031829        0.003420
BFGS:   98 05:17:36     -226.031834        0.003077
BFGS:   99 05:17:36     -226.031842        0.002973
BFGS:  100 05:17:36     -226.031859        0.002948
BFGS:  101 05:17:36     -226.031888        0.002562
BFGS:  102 05:17:36     -226.031919        0.002652
BFGS:  103 05:17:36     -226.031936        0.002766
BFGS:  104 05:17:36     -226.031941        0.002599
BFGS:  105 05:17:37     -226.031944        0.002416
BFGS:  106 05:17:37     -226.031953        0.002173
BFGS:  107 05:17:37     -226.031971        0.002497
BFGS:  108 05:17:37     -226.032008        0.003863
BFGS:  109 05:17:37     -226.032058        0.004079
BFGS:  110 05:17:37     -226.032094        0.002360
BFGS:  111 05:17:37     -226.032104        0.001011
BFGS:  112 05:17:37     -226.032105        0.001011
