      Step     Time          Energy          fmax
BFGS:    0 05:41:09     -101.210691        0.568386
BFGS:    1 05:41:09     -101.268614        0.502462
BFGS:    2 05:41:10     -101.343367        0.335493
BFGS:    3 05:41:10     -101.352281        0.310426
BFGS:    4 05:41:10     -101.395788        0.227498
BFGS:    5 05:41:10     -101.444563        0.275435
BFGS:    6 05:41:10     -101.502460        0.240644
BFGS:    7 05:41:10     -101.536331        0.149554
BFGS:    8 05:41:10     -101.547067        0.147412
BFGS:    9 05:41:11     -101.554775        0.166251
BFGS:   10 05:41:11     -101.578208        0.196783
BFGS:   11 05:41:11     -101.623389        0.279183
BFGS:   12 05:41:12     -101.707027        0.327598
BFGS:   13 05:41:12     -101.782219        0.271497
BFGS:   14 05:41:12     -101.833451        0.178417
BFGS:   15 05:41:12     -101.852317        0.138118
BFGS:   16 05:41:12     -101.859421        0.134117
BFGS:   17 05:41:12     -101.882420        0.160276
BFGS:   18 05:41:12     -101.893843        0.147492
BFGS:   19 05:41:12     -101.904066        0.109870
BFGS:   20 05:41:12     -101.908134        0.082528
BFGS:   21 05:41:12     -101.909281        0.074586
BFGS:   22 05:41:12     -101.909593        0.075779
BFGS:   23 05:41:12     -101.909925        0.078161
BFGS:   24 05:41:12     -101.910746        0.082179
BFGS:   25 05:41:12     -101.912726        0.087581
BFGS:   26 05:41:12     -101.917399        0.093259
BFGS:   27 05:41:12     -101.926818        0.093892
BFGS:   28 05:41:13     -101.941013        0.079902
BFGS:   29 05:41:13     -101.953908        0.058931
BFGS:   30 05:41:13     -101.964994        0.035243
BFGS:   31 05:41:13     -101.971503        0.013457
BFGS:   32 05:41:13     -101.972014        0.002924
BFGS:   33 05:41:13     -101.972040        0.000594
